PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL
94474    ,Trench Coat												 ,A timeless and elegant trench coat																																																														,650    ,HypPerCategory|260400					,/static/product_images/94474.jpg
97602    ,Leather Jacket                                             ,A classic leather jacket that offers a stylish and edgy look                                                                                                                                                                                                                              ,999    ,HypPerCategory|250400                  ,/static/product_images/97602.jpg
300614711   ,Black Newyork Cap                                          ,Minimalist and bold                                                                                                                                                                                                                                                                       ,50     ,HypPerCategory                         ,/static/product_images/300614711.jpg
100124   ,Panorama Pants Women                                       , Show everyone what a nice figure you have. Now it's even possible when you go snowboarding                                                                                                                                                                                               ,153.860,260900|streetwear|Nikita               ,/static/product_images/100124.jpg
100191   ,Beacon Jacket                                              , Who can say no to fresh roast bacon?! Then you should also say Yes to the Beacon Jacket by Armada. This jacket doesn't only has style but also super features                                                                                                                            ,101.21 ,Armada|snow|190100                     ,/static/product_images/100191.jpg
100378   ,Machete 158 11/12                                          , Rock out with your pop out! The award-winning Machete by Ride comes with Pop-Rods® 1.0.                                                                                                                                                                                                  ,275.36 ,10100|Ride|snow                        ,/static/product_images/100378.jpg
100402   ,Seizure Bag                                                , No chance that Billabong forgets about the classic among their bags. Therefore the Seizure bag is again part of the collection                                                                                                                                                           ,24.26  ,Billabong|streetwear|160700            ,/static/product_images/100402.jpg
100744   ,Ace Straight Pant Women                                    , Chic and comfy! The Ace pant by DC comes with subtle cargo pockets and in a clean design. It is ready for anything you throw at her and the added 40g insulation will keep you warmer in colder climates.                                                                                ,89.06  ,DC|snow|200300                         ,/static/product_images/100744.jpg
100746   ,Anzere Pant Women                                          , Best of the best for all weather conditions. DC's Anzere pant for women is an amazing piece in a cool design and with cargo pockets.                                                                                                                                                     ,113.36 ,DC|snow|200300                         ,/static/product_images/100746.jpg
100988   ,Cascata Beanie                                             , Reversible plus a visor! This is the Cascata Beanie by DC! 100% Acrylic                                                                                                                                                                                                                  ,28.31  ,DC|220500                              ,/static/product_images/100988.jpg
101580   ,Tone 153 11/12                                             , DC's most versatile board ever                                                                                                                                                                                                                                                           ,226.76 ,DC|snow|10100                          ,/static/product_images/101580.jpg
102153   ,AC Trefoil Shop Bag white                                  , You can store your shopping or your favourite belongings for every day use into the adidas AC Trefoil Shop bag.                                                                                                                                                                          ,1.98   ,adidas Originals|streetwear|160400     ,/static/product_images/102153.jpg
102277   ,Trace Helm                                                 , You could say you never bail and we could say you never try. For those who go for it on a daily basis                                                                                                                                                                                    ,40.46  ,450100|Red|snow                        ,/static/product_images/102277.jpg
102278   ,Trace Grom Helm youth                                      , Made for the preschool ripper that puts you to shame                                                                                                                                                                                                                                     ,32.36  ,450200|Red|kids                        ,/static/product_images/102278.jpg
